trial,model,virtualnode,vnode_init,temperature,constrative coef,gaussian_noise_scale,lr,train_acc,train_loss,val_acc,val_loss,test_acc,macro f1,micro f1minor f1,mad,madgap,micro f1,minor f1
0,GraphSAGE,UnidirectionalVirtualClassNode(),,6.7432520917119065,0.041418693488941,0.01,0.0044342287524079,0.5282544997907074,1.7565598,0.6378754033258873,1.3611159,0.6345036625410457,0.5513211280460742,,0.7767740488052368,0.5315070748329163,0.6264715793414167,0.4072437256407732
1,GraphSAGE,UnidirectionalVirtualClassNode(),,9.611671887856676,0.0103744799378324,0.001,0.0011920962994295,0.843114273754709,0.4998209774494171,0.7058823529411765,0.1356290727853775,0.6979035109876232,0.6350124200574475,,0.7832075357437134,0.4733870029449463,0.6948863557901653,0.4760963894699874
2,GraphSAGE,VirtualClassNode(),,6.681165659871565,0.0580194123230662,1e-06,0.0017346908437194,0.9941398074508162,0.0090157371014356,0.6713824770414495,-0.006688283290714,0.663425107350341,0.6069962380346381,,0.7642215490341187,0.484988123178482,0.6592168950141715,0.5081901446442859
3,GraphSAGE,VirtualClassNode(),,6.05825362502558,0.3405573143454562,1e-05,0.0027808836596097,0.9912097111762244,-0.0219828933477401,0.6641846612062546,-0.0466240905225276,0.6548370800707249,0.5964738614782804,,0.8257226347923279,0.5230510234832764,0.6534794553673219,0.4541001340646833
4,GraphSAGE,VirtualClassNode(),,2.9569500615300126,3.651795355438612e-05,1e-06,0.0065631099666498,0.0494767685223943,7.893187522888184,0.0528667163067758,7.64212703704834,0.0517807527153321,0.0140517637103682,,0.0024191094562411,0.0011451304890215,0.0275895465501713,0.0
5,GraphSAGE,UnidirectionalVirtualClassNode(),,4.235052363878859,9.729159637791304e-05,0.0001,0.0067731076900483,0.9814985349518628,0.0551739111542701,0.7014147431124349,0.0004539228684734,0.6931043192725436,0.633761001365694,,0.8426230549812317,0.4548050761222839,0.6901508808729132,0.4954227129940809
6,GraphSAGE,VirtualClassNode(),,4.093680402510015,0.0199713266388813,0.0001,0.0099408981079483,0.993386354123064,0.0162110980600118,0.6746090841399851,-0.0029863242525607,0.6641828744632483,0.6091536412901826,,0.8236186504364014,0.5091749429702759,0.6615321111948399,0.4842034597989004
7,GraphSAGE,VirtualClassNode(),,0.3348293189510057,0.7580292245455885,0.0001,0.0021517586008721,0.8867308497279196,-2.364643812179565,0.6661702655745843,-2.668259859085083,0.6554685526648143,0.588320562344011,,0.975867509841919,0.6068757176399231,0.6543495317590773,0.4438437029875268
8,GraphSAGE,VirtualClassNode(),,5.540920229876473,4.225009876317916e-05,1e-05,0.0075978661248529,0.9984093763080788,0.005875991191715,0.6738644825018615,0.0001279835705645,0.666708764839606,0.6076603054077486,,0.7772589921951294,0.4723164737224579,0.6641743017721033,0.4707440099794401
9,GraphSAGE,UnidirectionalVirtualClassNode(),,1.6077712713354655,2.323784584519178e-05,0.001,0.0081327056905487,0.5156969443281708,16.21095085144043,0.1856540084388185,86.31194305419922,0.1823692851730235,0.1558829121395761,,0.3005384504795074,0.1700587272644043,0.1825943653990238,0.0803809337840751
10,GraphSAGE,UnidirectionalVirtualClassNode(),,3.190503965754121,0.0005918822790891,0.0,0.0005313478719041,0.967182921724571,0.0996889397501945,0.685529908165798,0.0035996348597109,0.6769386208638545,0.6124758577603686,,0.7705471515655518,0.4415519535541534,0.673172924577972,0.4693513962898409
11,GraphSAGE,UnidirectionalVirtualClassNode(),,9.610922557942182,0.0011974855819335,0.001,0.0011871634534792,0.89485140226036,0.3310802578926086,0.7056341523951353,0.0395173281431198,0.6976509219499873,0.6362196386327493,,0.7978522181510925,0.4791502356529236,0.6947893474988902,0.4900662688286916
12,GraphSAGE,UnidirectionalVirtualClassNode(),,9.984046698264068,0.0006927004415163,0.001,0.004027228329218,0.9372122226873169,0.1863428056240081,0.7130801687763713,0.0051680649630725,0.6999242232887093,0.6418863316379575,,0.7924520969390869,0.4606921970844269,0.6970946236583903,0.5093183845142323
13,GraphSAGE,UnidirectionalVirtualClassNode(),,9.484691351365235,0.0009081643832076,0.001,0.0010738339751783,0.8818752616157388,0.3707360327243805,0.7091089600397121,0.0566494315862655,0.7000505178075271,0.6368964647728707,,0.7896192073822021,0.477613240480423,0.6969807647812589,0.4847106635775837
14,GraphSAGE,UnidirectionalVirtualClassNode(),,8.468815830391039,0.0002983923591083,0.001,0.0033954061768458,0.9101716199246548,0.2818706035614013,0.7036485480268057,0.0251766052097082,0.6961353877241727,0.632192390874812,,0.7798328995704651,0.4553780257701874,0.6921913967126802,0.4730536716673609
15,GraphSAGE,UnidirectionalVirtualClassNode(),,7.94310384401334,0.0024029146373139,0.001,0.0042459772775473,0.5159480954374215,9.98510456085205,0.2501861504095309,34.67325210571289,0.2475372568830512,0.1688244489224919,,0.2517391443252563,0.14059978723526,0.2198953285039915,0.0850421508316245
16,GraphSAGE,UnidirectionalVirtualClassNode(),,8.40903692265742,0.0046384237985456,0.0,0.0007254077477044,0.9467559648388448,0.167185828089714,0.6850335070737156,0.0144563475623726,0.6806011619095731,0.6143029133601445,,0.8099675178527832,0.4621448218822479,0.6775123859156778,0.4522538365405507
17,GraphSAGE,UnidirectionalVirtualClassNode(),,9.838991142916624,0.0002277323582606,0.01,0.0014795100296109,0.5043951444118878,1.9074840545654297,0.6291883842144452,1.325198769569397,0.6189694367264461,0.5366975970863792,,0.6131336092948914,0.4216816127300262,0.6110077874150195,0.3811682708222129
18,GraphSAGE,UnidirectionalVirtualClassNode(),,7.400551733561327,0.0008537003319062,0.001,0.0024230421789737,0.5823357053160318,3.8019802570343018,0.5204765450483991,3.630152463912964,0.5156605203334176,0.4441830719949626,,0.7992221713066101,0.4750274419784546,0.5012324011377968,0.3214346695000145
19,GraphSAGE,UnidirectionalVirtualClassNode(),,9.05915512767218,1.369113049396725e-05,0.001,0.0010087217975116,0.8932607785684387,0.3310570120811462,0.7066269545793,0.0434104576706886,0.6971457438747158,0.6338632625166368,,0.8095535635948181,0.4867303967475891,0.6935725428254744,0.4687699438772587
20,GraphSAGE,UnidirectionalVirtualClassNode(),,8.707267762071712,0.0023131952329025,0.001,0.0018052598205723,0.8859773964001675,0.3467064201831817,0.7078679573095061,0.0445900000631809,0.697019449355898,0.6364180595647971,,0.8084869384765625,0.4797592461109161,0.693617654305867,0.4944508882423977
21,GraphSAGE,UnidirectionalVirtualClassNode(),,8.829768309642374,0.0026925762999795,0.001,0.0018079410358291,0.8899958141481792,0.3388383090496063,0.7081161578555473,0.0422395020723342,0.6984086890628947,0.6386644589133019,,0.8083614706993103,0.4797157347202301,0.6951312027955504,0.4976671526075553
22,GraphSAGE,UnidirectionalVirtualClassNode(),,7.750902446940366,0.0055866022812848,0.001,0.001924684452532,0.895772289660946,0.3223659992218017,0.7110945644080418,0.0362354069948196,0.6979035109876232,0.6361526355439835,,0.8155154585838318,0.4828506112098694,0.6946591963239591,0.4879491925941289
23,GraphSAGE,UnidirectionalVirtualClassNode(),,8.74042019379931,0.0024494554287624,0.001,0.0028876505677716,0.556802009208874,7.626569747924805,0.5582030280466617,3.9810776710510254,0.5525385198282394,0.4697141117960289,,0.7219217419624329,0.3775822818279266,0.5492846107687619,0.3246571125224978
24,GraphSAGE,UnidirectionalVirtualClassNode(),,8.779268858674918,0.0021571036353913,0.001,0.001528906419815,0.9111762243616576,0.2799670100212097,0.7103499627699181,0.0250422023236751,0.6992927506946198,0.638955371482736,,0.8165370225906372,0.4834449589252472,0.6968080346775697,0.4841918225583733
25,GraphSAGE,UnidirectionalVirtualClassNode(),,9.92110799247858,0.0002603826414253,0.01,0.0014951493356926,0.4794474675596484,2.2415640354156494,0.6001489203276247,1.5832146406173706,0.5985097246779489,0.5184855647684953,,0.5369545817375183,0.3648722767829895,0.5905699237397213,0.3631727655500368
26,GraphSAGE,UnidirectionalVirtualClassNode(),,7.541383965583273,0.0069574575334155,1e-06,0.002382823537483,0.982168271243198,0.0559398457407951,0.6969471332836932,0.0030901303980499,0.6879262440010103,0.6273613423278416,,0.8678620457649231,0.4631645083427429,0.6855983456941419,0.4817029341521192
27,GraphSAGE,UnidirectionalVirtualClassNode(),,8.803052196511425,0.0014247908789378,1e-05,0.0036920926419784,0.9886144830473002,0.0333706699311733,0.6934723256391164,0.0012118115555495,0.6842637029552917,0.6257271628930334,,0.8248186111450195,0.4329313933849334,0.682153734371698,0.490612959922357
28,GraphSAGE,UnidirectionalVirtualClassNode(),,9.14703702543299,0.0005733651546637,0.0,0.0050738348313269,0.983089158643784,0.0530417300760746,0.697939935467858,0.0008514999062754,0.68615812073756,0.627902917006829,,0.8066217303276062,0.4290062487125397,0.6827833418825227,0.4985068653588106
29,GraphSAGE,UnidirectionalVirtualClassNode(),,6.981886522553953,0.0124459580952041,0.01,0.0030389972165395,0.5492674759313521,1.670288324356079,0.6450732191610822,1.2343337535858154,0.6404395049254862,0.5594842299388534,,0.7260333895683289,0.4967324435710907,0.6337272593042306,0.4200696700416195
30,GraphSAGE,UnidirectionalVirtualClassNode(),,8.12508973420011,0.0036852737418947,0.001,0.0051694317107715,0.8580159062369193,0.4735485911369324,0.7058823529411765,0.075090005993843,0.700176812326345,0.6393067827100314,,0.8070082664489746,0.4715602695941925,0.697146361435956,0.4876475812000832
31,GraphSAGE,UnidirectionalVirtualClassNode(),,8.827164134121777,0.0019747091490553,0.001,0.0017968726944994,0.8922561741314358,0.3366419076919555,0.7105981633159593,0.03811502084136,0.7011871684768881,0.6423618466734375,,0.8165687918663025,0.4845557510852813,0.6983773827420059,0.5008047480259624
32,GraphSAGE,UnidirectionalVirtualClassNode(),,9.15181576611301,0.0018485211719639,0.001,0.0014939639775606,0.9196316450397656,0.2475617080926895,0.7105981633159593,0.0169759690761566,0.7004294013639808,0.6380980753184816,,0.8225254416465759,0.4867577254772186,0.6976220952876837,0.4760459639998819
33,GraphSAGE,UnidirectionalVirtualClassNode(),,9.890961232983756,0.0099165583875944,0.001,0.0021173121871084,0.8988698200083717,0.3194174468517303,0.7081161578555473,0.0368148051202297,0.6996716342510735,0.6399965148284038,,0.8331456184387207,0.488459825515747,0.6977374941713457,0.5048110919307813
34,GraphSAGE,UnidirectionalVirtualClassNode(),,6.629219677289371,0.0038746037766094,0.001,0.0023517292655108,0.92683131017162,0.2265381067991256,0.7113427649540829,0.0133515913039445,0.7016923465521596,0.6421266649468912,,0.8431574702262878,0.489832729101181,0.6988298637340714,0.5027521094360412
35,GraphSAGE,VirtualClassNode(),,6.90883744834462,0.030815703993133,0.001,0.0028158409657173,0.992465466722478,0.0252561885863542,0.6703896748572847,-0.0002553971135057,0.6602677443798939,0.6045412632009084,,0.7931521534919739,0.5029528141021729,0.6575574201999526,0.4742696094958431
36,GraphSAGE,UnidirectionalVirtualClassNode(),,6.274791365469,0.0796082662913136,1e-06,0.0024197154366476,0.9739640016743408,0.0701996684074401,0.6974435343757757,-0.0080747166648507,0.6874210659257388,0.6288377099428222,,0.8856146931648254,0.4727024137973785,0.6848316411516804,0.4881101128490808
37,GraphSAGE,VirtualClassNode(),,7.801460504858322,0.0047210498835005,1e-05,0.0034522675717367,0.7779824194223525,3.1151371002197266,0.3720526185157607,15.500988960266112,0.36574892649659,0.3233716509531206,,0.6662775874137878,0.4189601540565491,0.3751907957643747,0.2027963214487338
38,GraphSAGE,UnidirectionalVirtualClassNode(),,8.226037066589736,0.0123266167888047,0.0001,0.0015507459061742,0.9758894935119296,0.072523333132267,0.7009183420203524,0.0027048459742218,0.6898206617832786,0.6305586223830102,,0.8770304322242737,0.4786251485347748,0.6872759083836874,0.4978221657722999
39,GraphSAGE,VirtualClassNode(),,7.186576784372337,0.0013744630126133,0.001,0.0025622857765593,0.6473838426119716,13.49696159362793,0.3596425912137007,19.13738441467285,0.3516039403889871,0.2897862423448029,,0.6067882180213928,0.3758707642555237,0.3219073807113043,0.2018127035279694
40,GraphSAGE,UnidirectionalVirtualClassNode(),,6.154572581376044,0.0001140892221224,1e-06,0.0021620549680455,0.9815822519882796,0.0599614344537258,0.6939687267311988,0.0005869654705747,0.6846425865117454,0.6259605302355392,,0.8201280832290649,0.4477876722812652,0.6823566626074189,0.4920646316507239
41,GraphSAGE,UnidirectionalVirtualClassNode(),,9.321192073218986,0.0031366795833139,0.001,0.0018157868075825,0.8935956467141063,0.3265333771705627,0.7088607594936709,0.0384166538715362,0.6984086890628947,0.6397491268726956,,0.8091272115707397,0.4801927804946899,0.695306896271548,0.4994088597383974
42,GraphSAGE,UnidirectionalVirtualClassNode(),,9.49082714754602,0.0006164851849108,0.001,0.0016120020210675,0.9195479280033488,0.2455029189586639,0.7081161578555473,0.0147186107933521,0.6987875726193483,0.6387152452192518,,0.8181406855583191,0.4839824438095093,0.6962539291265746,0.4858547000739044
43,GraphSAGE,UnidirectionalVirtualClassNode(),,9.384242058661227,0.0039288585101778,0.001,0.001322902549542,0.8863122645458351,0.357105016708374,0.7063787540332589,0.0514191314578056,0.6965142712806264,0.6332305202569941,,0.7925572991371155,0.4746002852916717,0.6935182365390125,0.4803146226450946
44,GraphSAGE,UnidirectionalVirtualClassNode(),,8.46872538016058,0.0015969648699964,0.0001,0.0020110741062345,0.9753034742570112,0.0801090374588966,0.6994291387441053,0.0033285873942077,0.6895680727456428,0.6292980430738621,,0.8340771794319153,0.4642073810100555,0.6869081817975049,0.4784765825658098
45,GraphSAGE,VirtualClassNode(),,7.997425219681553,0.0088570503266323,0.001,0.0019146193828412,0.9609878610297196,0.1203710064291954,0.679324894514768,0.0368213132023811,0.6698661278100531,0.6140941560050113,,0.7986622452735901,0.5203036069869995,0.6666785895943786,0.4950436395214263
46,GraphSAGE,UnidirectionalVirtualClassNode(),,6.599222190749646,0.0010752020285397,0.001,0.0017059883341759,0.9243197990791124,0.2320829033851623,0.7093571605857533,0.0126586612313985,0.700176812326345,0.6387613508601999,,0.819688081741333,0.482117086648941,0.6974695861936883,0.4850533719841277
47,GraphSAGE,UnidirectionalVirtualClassNode(),,9.94873079404745,0.003151700019732,0.0,0.0012972412091553,0.9744663038928422,0.0786854699254036,0.6964507321916108,0.0047225961461663,0.6869158878504673,0.6231160265279863,,0.8221511840820312,0.4569123983383178,0.6846377896233259,0.4739398068927155
48,GraphSAGE,UnidirectionalVirtualClassNode(),,9.281037965584693,0.0004811520997665,1e-05,0.0021264363544235,0.9806613645876936,0.0581554435193538,0.696698932737652,0.0009873668896034,0.68615812073756,0.6261718203197334,,0.819911777973175,0.4490294754505157,0.6832804957701748,0.4823782038924598
